,Unnamed: 0,year_2020,county_fips,totalvotes_2020,party_2020,county_name_2020,state_2020,state_po_2020,candidatevotes_2020,voteShare_2020,year_2016,totalvotes_2016,party_2016,county_name_2016,state_2016,state_po_2016,candidatevotes_2016,voteShare_2016,DELTA,CLUSTER
533,533,2020,55011.0,7816,DEMOCRAT,BUFFALO,WISCONSIN,WI,2860,0.3659160696008188,2016,6988,DEMOCRAT,BUFFALO,WISCONSIN,WI,2531,0.3621923297080709,0.3723739892747879,5
534,534,2020,55013.0,10141,DEMOCRAT,BURNETT,WISCONSIN,WI,3569,0.3519376787299083,2016,8743,DEMOCRAT,BURNETT,WISCONSIN,WI,2948,0.3371840329406382,1.4753645789270076,0
535,535,2020,55015.0,30774,DEMOCRAT,CALUMET,WISCONSIN,WI,12116,0.3937089751088581,2016,26650,DEMOCRAT,CALUMET,WISCONSIN,WI,9646,0.3619512195121951,3.1757755596663,3
536,536,2020,55017.0,35938,DEMOCRAT,CHIPPEWA,WISCONSIN,WI,13983,0.3890867605320274,2016,31561,DEMOCRAT,CHIPPEWA,WISCONSIN,WI,11886,0.3766040366274832,1.2482723904544135,0
537,537,2020,55019.0,14898,DEMOCRAT,CLARK,WISCONSIN,WI,4524,0.3036649214659686,2016,13596,DEMOCRAT,CLARK,WISCONSIN,WI,4227,0.3109002647837599,-0.7235343317791354,7
538,538,2020,55021.0,33869,DEMOCRAT,COLUMBIA,WISCONSIN,WI,16410,0.4845138622339012,2016,29771,DEMOCRAT,COLUMBIA,WISCONSIN,WI,13526,0.4543347552987807,3.017910693512049,2
539,539,2020,55023.0,8695,DEMOCRAT,CRAWFORD,WISCONSIN,WI,3953,0.4546290971822886,2016,7744,DEMOCRAT,CRAWFORD,WISCONSIN,WI,3425,0.4422778925619834,1.23512046203052,0
540,540,2020,55025.0,344791,DEMOCRAT,DANE,WISCONSIN,WI,260185,0.7546165648175271,2016,310017,DEMOCRAT,DANE,WISCONSIN,WI,217526,0.7016582961579526,5.295826865957453,8
541,541,2020,55027.0,48436,DEMOCRAT,DODGE,WISCONSIN,WI,16356,0.3376827153357007,2016,43065,DEMOCRAT,DODGE,WISCONSIN,WI,13968,0.3243469174503657,1.333579788533501,0
542,542,2020,55029.0,20117,DEMOCRAT,DOOR,WISCONSIN,WI,10044,0.4992792165829895,2016,17608,DEMOCRAT,DOOR,WISCONSIN,WI,8026,0.4558155383916402,4.346367819134933,6
543,543,2020,55031.0,24677,DEMOCRAT,DOUGLAS,WISCONSIN,WI,13218,0.5356404749361754,2016,22511,DEMOCRAT,DOUGLAS,WISCONSIN,WI,11345,0.5039758340366932,3.1664640899482177,3
544,544,2020,55033.0,23524,DEMOCRAT,DUNN,WISCONSIN,WI,9897,0.4207192654310491,2016,22091,DEMOCRAT,DUNN,WISCONSIN,WI,9026,0.4085826807297089,1.2136584701340214,0
545,545,2020,55035.0,58275,DEMOCRAT,EAU CLAIRE,WISCONSIN,WI,31620,0.5425997425997426,2016,54885,DEMOCRAT,EAU CLAIRE,WISCONSIN,WI,27294,0.4972943427165892,4.530539988315341,6
546,546,2020,55037.0,2940,DEMOCRAT,FLORENCE,WISCONSIN,WI,781,0.2656462585034013,2016,2657,DEMOCRAT,FLORENCE,WISCONSIN,WI,666,0.2506586375611592,1.4987620942242152,0
